property_name,address,type,size,room_num,bathroom_num,price,precise_address,longitude,latitude
西貢村屋,西貢,村屋,700,3,1,"13,800",香港西貢西貢村屋,114.163825,22.276284
珀丽湾,马湾,屋苑,476,2,1,"13,800",香港马湾珀丽湾,114.06682,22.351346
西貢村屋,西貢,村屋,700,3,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
宝明大厦,铜锣湾,单幢式大厦,499,1,2,"15,500",香港铜锣湾宝明大厦,114.189409,22.278213
坚拿道东1-2号,铜锣湾,单幢式大厦,395,1,1,"12,500",香港铜锣湾坚拿道东1-2号,114.18641,22.27609
马鞍山中心 1座,马鞍山,屋苑,375,2,1,"13,500",香港马鞍山马鞍山中心 1座,114.237472,22.422554
兆丰大厦,油麻地,单幢式大厦,237,1,1,"12,000",香港油麻地兆丰大厦,114.18055,22.303968
礼顿道2-2A号,铜锣湾,单幢式大厦,476,1,1,"15,000",香港铜锣湾礼顿道2-2A号,114.187374,22.274066
华诚洋楼,北角,单幢式大厦,246,2,1,"11,000",香港北角华诚洋楼,114.163825,22.276284
蓝天海岸1期 2座,东涌,屋苑,485,2,1,"16,000",香港东涌蓝天海岸1期 2座,113.95123,22.288113
礼贤大厦 - 礼顿道58-64A号,铜锣湾,单幢式大厦,450,1,1,"13,500",香港铜锣湾礼贤大厦 - 礼顿道58-64A号,114.18942,22.274862
西貢村屋,西貢,村屋,700,2,2,"15,000",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,2,"14,300",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,1,"16,000",香港西貢西貢村屋,114.163825,22.276284
延龄大厦,西湾河,单幢式大厦,367,1,1,"12,800",香港西湾河延龄大厦,114.226607,22.280076
海澄大厦,西湾河,单幢式大厦,316,2,1,"13,500",香港西湾河海澄大厦,114.226607,22.280076
嘉成大厦,油麻地,公寓,360,2,1,"13,800",香港油麻地嘉成大厦,114.18055,22.303968
愉景湾1期 - 明翠台,愉景湾,公寓,588,2,1,"16,000",香港愉景湾愉景湾1期 - 明翠台,114.027788,22.292031
皇后大道中370号,中上环,单幢式大厦,503,1,1,"16,000",香港中上环皇后大道中370号,114.162806,22.277789
沙田第一城 36座,沙田,屋苑,307,1,1,"12,000",香港沙田沙田第一城 36座,114.209576,22.382311
嘉丰大厦,中上环,单幢式大厦,285,1,1,"15,000",香港中上环嘉丰大厦,114.163825,22.276284
LP6,将军澳/坑口,屋苑,379,1,1,"15,500",香港将军澳/坑口LP6,114.273724,22.314015
西貢村屋,西貢,村屋,700,3,1,"13,800",香港西貢西貢村屋,114.163825,22.276284
爵悅庭,荃湾,屋苑,372,1,1,"15,500",香港荃湾爵悅庭,114.121928,22.364036
安宁楼,元朗,单幢式大厦,463,3,1,"10,000",香港元朗安宁楼,114.027344,22.443195
西貢市,西貢,村屋,700,3,1,"12,800",香港西貢西貢市,114.163825,22.276284
愉景湾 5期 - 颐峰 1 座 靖山阁,愉景湾,公寓,439,1,1,"14,000",香港愉景湾愉景湾 5期 - 颐峰 1 座 靖山阁,114.027788,22.292031
华登大厦,铜锣湾,单幢式大厦,300,2,1,"13,500",香港铜锣湾华登大厦,114.189409,22.278213
西貢村屋,西貢,村屋,350,1,1,"9,000",香港西貢西貢村屋,114.163825,22.276284
海傍大厦,鰂魚涌,屋苑,523,2,1,"14,600",香港鰂魚涌海傍大厦,114.207558,22.291498
愉景湾 5期 - 颐峰 1 座 靖山阁,愉景湾,公寓,693,2,1,"15,800",香港愉景湾愉景湾 5期 - 颐峰 1 座 靖山阁,114.027788,22.292031
嘉亨湾5座,西湾河,屋苑,314,1,1,"16,000",香港西湾河嘉亨湾5座,114.229655,22.282411
西貢村屋,西貢,村屋,700,3,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,1,"13,000",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,680,2,1,"14,500",香港西貢西貢村屋,114.163825,22.276284
西貢市,西貢,屋苑,485,2,1,"14,000",香港西貢西貢市,114.163825,22.276284
愉景湾 5期 - 颐峰,愉景湾,公寓,592,2,1,"16,000",香港愉景湾愉景湾 5期 - 颐峰,114.027788,22.292031
福安阁,南大屿山,公寓,290,1,1,"9,200",香港南大屿山福安阁,114.0062,22.260988
沙田第一城,沙田,屋苑,284,2,1,"12,500",香港沙田沙田第一城,114.207932,22.384895
西貢村屋,西貢,村屋,700,3,1,"13,000",香港西貢西貢村屋,114.163825,22.276284
沙田中心 广宁大厦 (H座),沙田,屋苑,288,2,1,"12,000",香港沙田沙田中心 广宁大厦 (H座),114.195136,22.37989
沙田第一城,沙田,屋苑,284,2,1,"11,500",香港沙田沙田第一城,114.207932,22.384895
元朗村屋,元朗,村屋,630,3,1,"13,000",香港元朗元朗村屋,114.163825,22.276284
元朗村屋,元朗,村屋,630,3,1,"12,000",香港元朗元朗村屋,114.163825,22.276284
元朗村屋,元朗,村屋,630,3,1,"14,000",香港元朗元朗村屋,114.163825,22.276284
新宝城,将军澳/坑口,屋苑,378,2,1,"15,000",香港将军澳/坑口新宝城,114.27121,22.311028
逸珑海汇,西貢,公寓,398,1,1,"14,000",香港西貢逸珑海汇,114.163825,22.276284
元朗村屋,元朗,村屋,630,3,1,"12,000",香港元朗元朗村屋,114.163825,22.276284
愉景湾 4期 - 蘅峰: 蘅安径 宝安阁,愉景湾,公寓,546,2,1,"15,000",香港愉景湾愉景湾 4期 - 蘅峰: 蘅安径 宝安阁,114.028978,22.292781
西貢村屋,西貢,村屋,320,1,1,"9,000",香港西貢西貢村屋,114.163825,22.276284
皇后大道西,西营盘,单幢式大厦,460,2,1,"13,300",香港西营盘皇后大道西,114.144729,22.283989
沙田第一城,沙田,屋苑,327,2,1,"12,800",香港沙田沙田第一城,114.207932,22.384895
沙田第一城,沙田,屋苑,304,1,1,"13,000",香港沙田沙田第一城,114.207932,22.384895
西貢村屋,西貢,村屋,435,1,1,"11,500",香港西貢西貢村屋,114.163825,22.276284
海湾大厦,鰂魚涌,屋苑,421,2,1,"14,500",香港鰂魚涌海湾大厦,114.207558,22.291498
新江大楼,旺角,单幢式大厦,415,2,1,"15,800",香港旺角新江大楼,114.163825,22.276284
蓝天海岸,东涌,屋苑,388,2,1,"13,000",香港东涌蓝天海岸,113.95123,22.288113
蓝天海岸,东涌,屋苑,388,1,1,"13,000",香港东涌蓝天海岸,113.95123,22.288113
山村道,跑马地,单幢式大厦,371,2,1,"13,000",香港跑马地山村道,114.190575,22.265501
恒裕阁,油麻地,单幢式大厦,371,2,1,"16,000",香港油麻地恒裕阁,114.18055,22.303968
鸿威大厦 1座,旺角,单幢式大厦,305,1,1,"13,900",香港旺角鸿威大厦 1座,114.163825,22.276284
利奥坊·晓岸,大角咀,屋苑,256,1,1,"14,500",香港大角咀利奥坊·晓岸,114.16609,22.318015
宝安阁,长沙湾,单幢式大厦,344,2,1,"15,800",香港长沙湾宝安阁,114.166056,22.333289
利奥坊·晓岸,大角咀,屋苑,259,1,1,"14,500",香港大角咀利奥坊·晓岸,114.16609,22.318015
鸿都大厦 3座,旺角,单幢式大厦,314,1,1,"13,800",香港旺角鸿都大厦 3座,114.163825,22.276284
钻岭,黄大仙,单幢式大厦,338,2,1,"14,500",香港黄大仙钻岭,114.163825,22.276284
华源大厦,尖沙咀,单幢式大厦,260,2,1,"12,500",香港尖沙咀华源大厦,114.17684,22.29501
马鞍山村屋,马鞍山,村屋,"1,000",3,1,"13,500",香港马鞍山马鞍山村屋,114.163825,22.276284
鸿辉大厦,旺角,单幢式大厦,310,2,1,"11,500",香港旺角鸿辉大厦,114.163825,22.276284
利奥坊·晓岸,大角咀,屋苑,252,2,1,"14,300",香港大角咀利奥坊·晓岸,114.16609,22.318015
东发大厦,旺角,单幢式大厦,390,2,1,"13,500",香港旺角东发大厦,114.163825,22.276284
東環,东涌,屋苑,466,2,1,"14,300",香港东涌東環,113.939633,22.280441
春晖花园,沙田,屋苑,321,2,1,"13,000",香港沙田春晖花园,114.163825,22.276284
東環,东涌,屋苑,484,2,2,"14,500",香港东涌東環,113.939633,22.280441
利奥坊．凯岸,大角咀,屋苑,252,1,1,"14,500",香港大角咀利奥坊．凯岸,114.16609,22.318015
泰亨中心圍,大埔,村屋,700,3,2,"13,000",香港大埔泰亨中心圍,114.163825,22.276284
金陵阁 A座,西营盘,屋苑,343,2,1,"13,500",香港西营盘金陵阁 A座,114.144729,22.283989
德利大厦,旺角,单幢式大厦,207,2,1,"10,300",香港旺角德利大厦,114.163825,22.276284
得发大厦,鰂魚涌,屋苑,264,1,1,"11,500",香港鰂魚涌得发大厦,114.207558,22.291498
启岸,紅磡,单幢式大厦,255,1,1,"14,500",香港紅磡启岸,114.163825,22.276284
高雅大厦,西营盘,公寓,337,1,1,"16,000",香港西营盘高雅大厦,114.139938,22.283041
鸿辉大厦,旺角,单幢式大厦,310,2,1,"13,800",香港旺角鸿辉大厦,114.163825,22.276284
偉华中心 1座,沙田,屋苑,358,2,1,"14,500",香港沙田偉华中心 1座,114.191842,22.377782
好运中心,沙田,屋苑,348,1,1,"13,000",香港沙田好运中心,114.195366,22.380013
蓝天海岸 3期 -影岸.红,东涌,屋苑,569,2,1,"16,000",香港东涌蓝天海岸 3期 -影岸.红,113.95123,22.288113
海景大厦,南大屿山,公寓,402,3,1,"13,000",香港南大屿山海景大厦,114.021362,22.305926
西貢村屋,西貢,村屋,700,2,1,"13,000",香港西貢西貢村屋,114.163825,22.276284
利源阁,油麻地,单幢式大厦,267,2,1,"13,500",香港油麻地利源阁,114.18055,22.303968
鸿辉大厦,旺角,单幢式大厦,310,1,1,"12,000",香港旺角鸿辉大厦,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
映湾园,东涌,屋苑,496,2,1,"14,200",香港东涌映湾园,113.955002,22.288893
河畔花园,沙田,屋苑,242,1,1,"11,500",香港沙田河畔花园,114.200604,22.378981
宝安阁,长沙湾,单幢式大厦,351,2,1,"15,800",香港长沙湾宝安阁,114.166056,22.333289
蓝天海岸 3期 -影岸.红,东涌,屋苑,502,2,1,"16,000",香港东涌蓝天海岸 3期 -影岸.红,113.95123,22.288113
海傲灣,油塘,屋苑,299,1,1,"13,500",香港油塘海傲灣,114.242639,22.294572
立坊,荃湾,屋苑,308,1,1,"13,500",香港荃湾立坊,114.163825,22.276284
山翠苑,柴湾,屋苑,374,2,1,"13,500",香港柴湾山翠苑,114.238403,22.266485
珀丽湾,马湾,屋苑,490,2,1,"13,800",香港马湾珀丽湾,114.06682,22.351346
珀丽湾,马湾,屋苑,366,1,1,"12,000",香港马湾珀丽湾,114.06682,22.351346
大围村,大围,单幢式大厦,350,1,1,"9,800",香港大围大围村,114.163825,22.276284
愉景湾 4期- 蘅峰,愉景湾,公寓,545,2,1,"15,500",香港愉景湾愉景湾 4期- 蘅峰,114.027788,22.292031
愉景湾 5期 - 颐峰,愉景湾,公寓,439,1,1,"13,800",香港愉景湾愉景湾 5期 - 颐峰,114.027788,22.292031
金莉大厦,西半山,公寓,336,2,1,"15,000",香港西半山金莉大厦,114.163825,22.276284
华登大厦,铜锣湾,单幢式大厦,300,2,1,"14,500",香港铜锣湾华登大厦,114.189409,22.278213
永生大厦,中上环,单幢式大厦,412,2,1,"15,000",香港中上环永生大厦,114.154222,22.284599
公主大厦,炮台山,单幢式大厦,370,2,1,"14,200",香港炮台山公主大厦,114.198638,22.286044
馬灣村屋,马湾,村屋,700,3,1,"13,000",香港马湾馬灣村屋,114.06603,22.346103
丰景阁,西营盘,单幢式大厦,333,1,1,"15,000",香港西营盘丰景阁,114.155143,22.241105
丰景阁,西营盘,单幢式大厦,333,1,1,"15,000",香港西营盘丰景阁,114.155143,22.241105
永乐街(大厦单位),中上环,单幢式大厦,300,2,1,"15,000",香港中上环永乐街(大厦单位),114.157021,22.283226
嘉豪大厦,中上环,公寓,283,1,1,"16,000",香港中上环嘉豪大厦,114.163825,22.276284
沙田第一城 45座,沙田,屋苑,304,2,1,"14,000",香港沙田沙田第一城 45座,114.208805,22.382158
沙田第一城 45座,沙田,屋苑,284,2,1,"12,500",香港沙田沙田第一城 45座,114.208805,22.382158
华乐大厦,旺角,单幢式大厦,442,2,1,"16,000",香港旺角华乐大厦,114.163825,22.276284
上源,屯門,屋苑,517,2,1,"15,000",香港屯門上源,114.163825,22.276284
富昌大厦,油麻地,单幢式大厦,365,2,1,"13,000",香港油麻地富昌大厦,114.18055,22.303968
映湾园,东涌,屋苑,548,2,1,"15,300",香港东涌映湾园,113.955002,22.288893
珀丽湾,马湾,屋苑,531,2,1,"13,800",香港马湾珀丽湾,114.06682,22.351346
珀丽湾,马湾,屋苑,532,2,1,"13,800",香港马湾珀丽湾,114.06682,22.351346
珀丽湾,马湾,屋苑,476,2,1,"13,800",香港马湾珀丽湾,114.06682,22.351346
羲皇台一号 3座,坚尼地城,屋苑,473,1,1,"14,800",香港坚尼地城羲皇台一号 3座,114.163825,22.276284
翡翠阁 A座,坚尼地城,屋苑,312,1,1,"13,000",香港坚尼地城翡翠阁 A座,114.135033,22.28124
愉景湾 5期 - 颐峰,愉景湾,公寓,439,2,1,"15,000",香港愉景湾愉景湾 5期 - 颐峰,114.027788,22.292031
昌记大楼,旺角,单幢式大厦,140,1,1,"7,300",香港旺角昌记大楼,114.163825,22.276284
建益大楼,坚尼地城,单幢式大厦,374,2,1,"14,800",香港坚尼地城建益大楼,114.163825,22.276284
环海·东岸,紅磡,屋苑,325,1,1,"15,800",香港紅磡环海·东岸,114.163825,22.276284
长旺大厦,旺角,单幢式大厦,210,1,1,"9,500",香港旺角长旺大厦,114.192038,22.320435
康华大厦,筲箕湾,屋苑,300,2,1,"13,900",香港筲箕湾康华大厦,114.234978,22.275458
华新大厦,旺角,单幢式大厦,333,2,1,"14,500",香港旺角华新大厦,114.222757,22.212781
银海大厦,深水埗,单幢式大厦,308,2,1,"11,800",香港深水埗银海大厦,114.165197,22.324305
百诚大厦,佐敦,单幢式大厦,150,1,1,"9,500",香港佐敦百诚大厦,114.163825,22.276284
利奥坊·晓岸,大角咀,屋苑,252,1,1,"14,000",香港大角咀利奥坊·晓岸,114.16609,22.318015
富多来新村 1期 富金楼 (A座),大角咀,单幢式大厦,340,2,1,"13,800",香港大角咀富多来新村 1期 富金楼 (A座),114.168133,22.316968
西貢村屋,西貢,村屋,700,3,1,"14,800",香港西貢西貢村屋,114.163825,22.276284
公主大厦,炮台山,单幢式大厦,384,2,1,"14,000",香港炮台山公主大厦,114.198638,22.286044
威华大厦,尖沙咀,单幢式大厦,388,1,1,"15,000",香港尖沙咀威华大厦,114.163825,22.276284
砵兰街327-329号,旺角,单幢式大厦,209,1,1,"5,800",香港旺角砵兰街327-329号,114.173163,22.318424
广源大厦,旺角,单幢式大厦,333,2,1,"12,500",香港旺角广源大厦,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,1,"13,000",香港西貢西貢村屋,114.163825,22.276284
仁安大楼,观塘,单幢式大厦,450,2,1,"12,500",香港观塘仁安大楼,114.163825,22.276284
西貢村屋,西貢,村屋,700,2,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
运福楼,深水埗,单幢式大厦,243,2,1,"12,500",香港深水埗运福楼,114.163825,22.276284
新发大厦,天后,单幢式大厦,369,1,1,"14,500",香港天后新发大厦,114.028447,22.443917
伊利近街(大厦单位),中上环,公寓,200,1,1,"10,000",香港中上环伊利近街(大厦单位),114.157536,22.279012
石门甲村,东涌,村屋,700,3,1,"13,000",香港东涌石门甲村,113.935832,22.265793
東環,东涌,屋苑,484,2,2,"15,000",香港东涌東環,113.939633,22.280441
THE CARMEL,屯門,屋苑,360,1,1,"11,800",香港屯門THE CARMEL,114.163825,22.276284
贝澳老围村,南大屿山,村屋,650,2,1,"8,500",香港南大屿山贝澳老围村,114.131012,22.377111
嘉熙,大埔,屋苑,459,2,1,"15,500",香港大埔嘉熙,114.163825,22.276284
马鞍山村,马鞍山,村屋,700,2,1,"13,500",香港马鞍山马鞍山村,114.163825,22.276284
德昌大厦,油麻地,单幢式大厦,202,1,1,"12,800",香港油麻地德昌大厦,114.163776,22.326249
東環 1 期 6B 座,东涌,屋苑,484,2,2,"14,500",香港东涌東環 1 期 6B 座,113.939633,22.280441
西貢村屋,西貢,村屋,700,3,1,"16,000",香港西貢西貢村屋,114.163825,22.276284
宇宙大厦,长沙湾,单幢式大厦,306,2,1,"11,500",香港长沙湾宇宙大厦,114.168908,22.325462
裕景楼,油麻地,单幢式大厦,400,2,1,"13,800",香港油麻地裕景楼,114.21746,22.215868
金玉大厦,石硖尾,单幢式大厦,224,1,1,"9,900",香港石硖尾金玉大厦,114.163825,22.276284
伟晴阁,佐敦,单幢式大厦,270,1,1,"11,800",香港佐敦伟晴阁,114.172571,22.303817
太平花园,何文田,屋苑,304,2,1,"13,800",香港何文田太平花园,114.163825,22.276284
华欣阁,何文田,单幢式大厦,307,1,1,"13,500",香港何文田华欣阁,114.1061,22.34599
乐声大厦,铜锣湾,屋苑,390,2,1,"14,500",香港铜锣湾乐声大厦,114.189409,22.278213
连城阁,尖沙咀,单幢式大厦,325,2,1,"13,500",香港尖沙咀连城阁,114.163825,22.276284
咸田旧村,南大屿山,村屋,700,3,1,"11,500",香港南大屿山咸田旧村,114.021362,22.305926
西貢村屋,西貢,村屋,700,3,1,"8,000",香港西貢西貢村屋,114.163825,22.276284
偉华中心,沙田,屋苑,358,2,2,"15,800",香港沙田偉华中心,114.19232,22.378549
VIVA,紅磡,单幢式大厦,331,1,1,"13,800",香港紅磡VIVA,114.163825,22.276284
富华大楼,旺角,单幢式大厦,312,2,1,"10,800",香港旺角富华大楼,114.163825,22.276284
西貢村屋,西貢,村屋,423,2,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
港逸轩,北角,单幢式大厦,200,1,1,"12,000",香港北角港逸轩,114.163825,22.276284
翡翠阁,坚尼地城,屋苑,343,2,1,"15,800",香港坚尼地城翡翠阁,114.135033,22.28124
明园,北角,公寓,460,2,1,"15,800",香港北角明园,114.163825,22.276284
海湾花园,荃湾,屋苑,537,3,1,"15,500",香港荃湾海湾花园,114.11947,22.361162
宝荣大楼,铜锣湾,单幢式大厦,230,1,1,"10,000",香港铜锣湾宝荣大楼,114.189409,22.278213
永利大厦,尖沙咀,单幢式大厦,120,1,1,"5,600",香港尖沙咀永利大厦,114.169247,22.317707
榮华大厦,炮台山,公寓,400,2,1,"13,000",香港炮台山榮华大厦,114.16014,22.278236
林景阁,观塘,单幢式大厦,550,2,1,"11,900",香港观塘林景阁,114.225473,22.31686
跑马地,跑马地,单幢式大厦,441,2,1,"13,800",香港跑马地跑马地,114.188983,22.266227
福熙苑,西半山,公寓,400,1,1,"15,000",香港西半山福熙苑,114.156975,22.276884
幸福大楼,北角,公寓,350,2,1,"12,800",香港北角幸福大楼,114.163825,22.276284
珀丽湾,马湾,屋苑,566,2,1,"14,000",香港马湾珀丽湾,114.06682,22.351346
侨英大厦,鰂魚涌,屋苑,335,2,1,"13,800",香港鰂魚涌侨英大厦,114.207558,22.291498
兴民大厦,西湾河,单幢式大厦,192,1,1,"9,600",香港西湾河兴民大厦,114.226607,22.280076
黄埔花园,黃埔,屋苑,389,2,1,"15,000",香港黃埔黄埔花园,114.194867,22.301238
黄埔花园,黃埔,屋苑,389,2,1,"15,800",香港黃埔黄埔花园,114.194867,22.301238
黄埔花园,黃埔,屋苑,389,2,1,"15,800",香港黃埔黄埔花园,114.194867,22.301238
西貢村屋,西貢,村屋,300,1,1,"8,000",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,700,3,2,"16,000",香港西貢西貢村屋,114.163825,22.276284
西貢村屋,西貢,村屋,350,2,1,"9,500",香港西貢西貢村屋,114.163825,22.276284
柏慧豪园,天水围,屋苑,494,2,1,"12,500",香港天水围柏慧豪园,114.004152,22.446006
嘉湖山庄,天水围,屋苑,449,2,1,"10,500",香港天水围嘉湖山庄,114.004144,22.455114
嘉湖山庄,天水围,屋苑,551,3,1,"12,000",香港天水围嘉湖山庄,114.004144,22.455114
樟树滩村,大埔,公寓,436,1,1,"8,800",香港大埔樟树滩村,114.205912,22.42232
鸿业大厦,湾仔,单幢式大厦,327,2,1,"15,300",香港湾仔鸿业大厦,114.184262,22.275315
金国中心,旺角,单幢式大厦,223,1,1,"11,800",香港旺角金国中心,114.163825,22.276284
愉景湾 1期 - 明翠台: 1座 观星楼,愉景湾,公寓,588,3,2,"15,800",香港愉景湾愉景湾 1期 - 明翠台: 1座 观星楼,114.016473,22.299421
琼林阁,尖沙咀,单幢式大厦,412,1,1,"14,800",香港尖沙咀琼林阁,114.163825,22.276284
宝安阁,长沙湾,公寓,344,2,1,"15,600",香港长沙湾宝安阁,114.166056,22.333289
晓岸,清水湾,屋苑,250,1,1,"14,500",香港清水湾晓岸,114.291885,22.284075
南湾大厦,深水埗,单幢式大厦,397,2,1,"9,000",香港深水埗南湾大厦,114.168736,22.326659
馬灣村屋,马湾,村屋,700,3,1,"13,000",香港马湾馬灣村屋,114.06603,22.346103
東環,东涌,屋苑,412,1,1,"12,500",香港东涌東環,113.939633,22.280441
東環,东涌,屋苑,484,2,2,"15,000",香港东涌東環,113.939633,22.280441
恒星楼,尖沙咀,单幢式大厦,330,2,1,"12,100",香港尖沙咀恒星楼,114.163825,22.276284
仁俊大厦,油麻地,单幢式大厦,365,2,1,"13,500",香港油麻地仁俊大厦,114.175282,22.309563
